call_id,call_date,time_recvd,time_left,call_duration_minutes,volunteer_id,reason_id,volunteer_name_raw,reason_name_raw,date_key,cleaning_notes
800008,2021-01-05,09:53:00,10:20:00,27,9543,3,Finley R,Wheelchair Assist,2021-01-05,""
800009,2021-01-05,09:02:00,09:34:00,32,9543,3,Finley R,Supply Run,2021-01-05,""
800012,2021-01-05,11:40:00,11:49:00,9,9508,7,Emerson K,Supply Run,2021-01-05,""
800014,2021-01-05,11:00:00,11:38:00,38,9508,3,Emerson K,Translation Support,2021-01-05,""
800019,2021-01-05,08:41:00,09:10:00,29,9508,7,Emerson K,Information,2021-01-05,""
800020,2021-01-05,10:36:00,10:47:00,11,9508,4,Emerson K,Translation Support,2021-01-05,""
800023,2021-01-05,11:03:00,11:14:00,11,9508,4,Emerson K,Wayfinding,2021-01-05,""
800024,2021-01-05,15:56:00,16:19:00,23,9548,1,Taylor C,Information,2021-01-05,""
800026,2021-01-05,15:58:00,16:08:00,10,9548,1,Taylor C,Information,2021-01-05,""
800031,2021-01-05,16:47:00,17:00:00,13,9548,5,Taylor C,Patient Support,2021-01-05,""
800032,2021-01-05,15:10:00,15:44:00,34,9548,2,Taylor C,Wheelchair Assist,2021-01-05,""
800034,2021-01-05,13:55:00,14:10:00,15,9548,3,Taylor C,Wayfinding,2021-01-05,""
800038,2021-01-05,15:08:00,15:34:00,26,9548,6,Taylor C,Wheelchair Assist,2021-01-05,""
800043,2021-01-11,11:37:00,12:00:00,23,9540,1,Parker I,Wheelchair Assist,2021-01-11,""
800050,2021-01-11,09:52:00,10:06:00,14,9540,6,Parker I,Escort,2021-01-11,""
800051,2021-01-11,09:11:00,09:33:00,22,9543,5,Finley R,Wheelchair Assist,2021-01-11,""
800053,2021-01-11,11:01:00,11:24:00,23,9543,1,Finley R,Wayfinding,2021-01-11,""
800066,2021-01-12,10:59:00,11:26:00,27,9516,4,Jordan V,Escort,2021-01-12,""
800068,2021-01-12,11:24:00,11:38:00,14,9516,5,Jordan V,Translation Support,2021-01-12,""
800074,2021-01-12,11:03:00,11:23:00,20,9516,3,Jordan V,Wheelchair Assist,2021-01-12,""
800077,2021-01-12,09:42:00,09:47:00,5,9516,1,Jordan V,Wheelchair Assist,2021-01-12,""
800080,2021-01-12,14:20:00,14:45:00,25,9508,3,Emerson K,Translation Support,2021-01-12,""
800081,2021-01-12,14:37:00,14:45:00,8,9508,1,Emerson K,Supply Run,2021-01-12,""
800090,2021-01-12,14:41:00,15:05:00,24,9508,2,Emerson K,Information,2021-01-12,""
800092,2021-01-12,15:54:00,16:26:00,32,9508,6,Emerson K,Information,2021-01-12,""
800095,2021-01-18,11:33:00,12:00:00,27,9516,4,Jordan V,Translation Support,2021-01-18,""
800100,2021-01-18,10:36:00,10:54:00,18,9516,6,Jordan V,Other,2021-01-18,""
800101,2021-01-18,10:29:00,11:00:00,31,9516,8,Jordan V,Wayfinding,2021-01-18,""
800102,2021-01-18,11:04:00,11:37:00,33,9516,5,Jordan V,Supply Run,2021-01-18,""
800104,2021-01-18,09:46:00,10:16:00,30,9516,6,Jordan V,Translation Support,2021-01-18,""
800114,2021-01-19,10:50:00,11:01:00,11,9570,4,Rowan T,Other,2021-01-19,""
800120,2021-01-19,10:12:00,10:29:00,17,9508,8,Emerson K,Supply Run,2021-01-19,""
800128,2021-01-19,10:35:00,10:48:00,13,9508,5,Emerson K,Translation Support,2021-01-19,""
800132,2021-01-19,09:34:00,09:44:00,10,9508,4,Emerson K,Wayfinding,2021-01-19,""
800134,2021-01-19,08:49:00,08:59:00,10,9508,2,Emerson K,Supply Run,2021-01-19,""
800136,2021-01-20,11:01:00,11:35:00,34,9548,8,Taylor C,Patient Support,2021-01-20,""
800137,2021-01-20,09:23:00,09:42:00,19,9548,1,Taylor C,Supply Run,2021-01-20,""
800139,2021-01-20,08:58:00,09:26:00,28,9548,3,Taylor C,Escort,2021-01-20,""
800141,2021-01-20,11:06:00,11:35:00,29,9548,4,Taylor C,Supply Run,2021-01-20,""
800142,2021-01-20,09:35:00,09:42:00,7,9548,2,Taylor C,Wayfinding,2021-01-20,""
800144,2021-01-20,09:14:00,09:44:00,30,9548,5,Taylor C,Information,2021-01-20,""
800145,2021-01-20,09:00:00,09:13:00,13,9548,4,Taylor C,Other,2021-01-20,""
800147,2021-01-20,09:43:00,10:12:00,29,9548,1,Taylor C,Patient Support,2021-01-20,""
800149,2021-01-20,10:13:00,10:39:00,26,9543,3,Finley R,Escort,2021-01-20,""
800152,2021-01-20,11:50:00,12:00:00,10,9543,6,Finley R,Information,2021-01-20,""
800154,2021-01-20,10:24:00,10:42:00,18,9543,6,Finley R,Wheelchair Assist,2021-01-20,""
800155,2021-01-20,10:19:00,10:31:00,12,9543,5,Finley R,Wheelchair Assist,2021-01-20,""
800156,2021-01-20,11:21:00,11:59:00,38,9543,6,Finley R,Wayfinding,2021-01-20,""
800159,2021-01-25,09:55:00,10:29:00,34,9508,5,Emerson K,Translation Support,2021-01-25,""
800160,2021-01-25,09:40:00,10:11:00,31,9508,3,Emerson K,Wheelchair Assist,2021-01-25,""
800163,2021-01-25,11:37:00,12:00:00,23,9508,3,Emerson K,Information,2021-01-25,""
800168,2021-01-25,08:24:00,08:37:00,13,9508,3,Emerson K,Wayfinding,2021-01-25,""
800174,2021-01-25,09:02:00,09:16:00,14,9540,8,Parker I,Wheelchair Assist,2021-01-25,""
800178,2021-01-25,11:05:00,11:40:00,35,9540,3,Parker I,Other,2021-01-25,""
800179,2021-01-25,10:31:00,10:38:00,7,9540,8,Parker I,Patient Support,2021-01-25,""
800180,2021-01-25,10:05:00,10:29:00,24,9540,4,Parker I,Escort,2021-01-25,""
800184,2021-01-25,08:29:00,08:52:00,23,9540,7,Parker I,Translation Support,2021-01-25,""
800190,2021-01-25,14:37:00,14:57:00,20,9548,2,Taylor C,Supply Run,2021-01-25,""
800192,2021-01-25,16:13:00,16:39:00,26,9548,5,Taylor C,Supply Run,2021-01-25,""
800195,2021-01-25,15:13:00,15:18:00,5,9548,2,Taylor C,Supply Run,2021-01-25,""
800197,2021-01-25,13:00:00,13:40:00,40,9548,6,Taylor C,Wheelchair Assist,2021-01-25,""
800200,2021-01-25,16:30:00,16:56:00,26,9516,2,Jordan V,Supply Run,2021-01-25,""
800202,2021-01-25,14:56:00,15:17:00,21,9516,4,Jordan V,Translation Support,2021-01-25,""
800203,2021-01-25,16:21:00,16:52:00,31,9516,4,Jordan V,Wayfinding,2021-01-25,""
800205,2021-01-25,13:57:00,14:25:00,28,9516,2,Jordan V,Translation Support,2021-01-25,""
800208,2021-01-25,15:14:00,15:44:00,30,9516,7,Jordan V,Wayfinding,2021-01-25,""
800209,2021-01-26,10:48:00,10:56:00,8,9543,2,Finley R,Wheelchair Assist,2021-01-26,""
800211,2021-01-26,10:37:00,11:00:00,23,9543,6,Finley R,Wheelchair Assist,2021-01-26,""
800212,2021-01-26,09:46:00,09:53:00,7,9543,7,Finley R,Supply Run,2021-01-26,""
800215,2021-01-26,10:47:00,10:53:00,6,9543,2,Finley R,Escort,2021-01-26,""
800217,2021-01-26,08:39:00,08:53:00,14,9543,1,Finley R,Supply Run,2021-01-26,""
800218,2021-01-26,09:07:00,09:12:00,5,9543,4,Finley R,Information,2021-01-26,""
800219,2021-01-26,10:43:00,11:19:00,36,9543,6,Finley R,Escort,2021-01-26,""
800220,2021-02-02,09:33:00,09:48:00,15,9543,4,Finley R,Patient Support,2021-02-02,""
800223,2021-02-02,10:22:00,10:56:00,34,9543,1,Finley R,Translation Support,2021-02-02,""
800225,2021-02-02,10:53:00,11:10:00,17,9543,5,Finley R,Supply Run,2021-02-02,""
800229,2021-02-02,10:43:00,11:23:00,40,9543,7,Finley R,Patient Support,2021-02-02,""
800232,2021-02-02,09:54:00,10:28:00,34,9543,8,Finley R,Wheelchair Assist,2021-02-02,""
800234,2021-02-02,10:56:00,11:11:00,15,9543,4,Finley R,Escort,2021-02-02,""
800235,2021-02-02,08:33:00,08:59:00,26,9543,8,Finley R,Wheelchair Assist,2021-02-02,""
800236,2021-02-02,08:15:00,08:42:00,27,9543,5,Finley R,Information,2021-02-02,""
800239,2021-02-03,11:02:00,11:35:00,33,9540,4,Parker I,Information,2021-02-03,""
800245,2021-02-03,10:19:00,10:50:00,31,9540,2,Parker I,Wheelchair Assist,2021-02-03,""
