schedule_id,volunteer_id,volunteer_name,status,volunteer_shift_pref,schedule_date,shift_type,scheduled_hours,schedule_status,no_show_flag,calls_that_day,avg_call_duration_minutes,year,month,day_of_week,is_weekend,is_federal_holiday,program_is_open
1,9548,Taylor C,Active,Afternoon,2021-01-01,Afternoon,4,Scheduled,true,0,,2021,1,Friday,false,true,true
2,9508,Emerson K,Resigned,Day,2021-01-01,Afternoon,4,Scheduled,true,0,,2021,1,Friday,false,true,true
3,9543,Finley R,Resigned,Afternoon,2021-01-05,Day,4,Scheduled,false,2,29.50,2021,1,Tuesday,false,false,true
4,9508,Emerson K,Resigned,Day,2021-01-05,Day,4,Scheduled,false,5,19.60,2021,1,Tuesday,false,false,true
5,9548,Taylor C,Active,Afternoon,2021-01-05,Afternoon,4,Scheduled,false,6,20.17,2021,1,Tuesday,false,false,true
6,9540,Parker I,Resigned,Afternoon,2021-01-11,Day,4,Scheduled,false,2,18.50,2021,1,Monday,false,false,true
7,9543,Finley R,Resigned,Afternoon,2021-01-11,Day,4,Scheduled,false,2,22.50,2021,1,Monday,false,false,true
8,9548,Taylor C,Active,Afternoon,2021-01-12,Day,4,Scheduled,true,0,,2021,1,Tuesday,false,false,true
9,9516,Jordan V,Resigned,Afternoon,2021-01-12,Day,4,Scheduled,false,4,16.50,2021,1,Tuesday,false,false,true
10,9508,Emerson K,Resigned,Day,2021-01-12,Afternoon,4,Scheduled,false,4,22.25,2021,1,Tuesday,false,false,true
11,9516,Jordan V,Resigned,Afternoon,2021-01-18,Day,4,Scheduled,false,5,27.80,2021,1,Monday,false,true,true
12,9540,Parker I,Resigned,Afternoon,2021-01-18,Day,4,Scheduled,true,0,,2021,1,Monday,false,true,true
13,9570,Rowan T,Active,Afternoon,2021-01-19,Day,4,Scheduled,false,1,11.00,2021,1,Tuesday,false,false,true
14,9508,Emerson K,Resigned,Day,2021-01-19,Day,4,Scheduled,false,4,12.50,2021,1,Tuesday,false,false,true
15,9548,Taylor C,Active,Afternoon,2021-01-20,Day,4,Scheduled,false,8,23.63,2021,1,Wednesday,false,false,true
